127.0.0.1 - - [25/Nov/2024:17:51:50 +0530] "GET / HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:51:54 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:51:58 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:52:54 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:52:55 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:54:16 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:54:16 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:54:17 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:56:41 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:56:42 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:57:06 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:17:57:11 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:04:15 +0530] "GET /StudentManagementSystem/NewFile.jsp HTTP/1.1" 500 6999
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:05:47 +0530] "GET /StudentManagementSystem/NewFile.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:08:31 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:08:52 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:09:15 +0530] "GET /StudentManagementSystem/addStudent.jsp?id=5&name=Cherry&branch=EEE&contact=123456 HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:13:27 +0530] "GET /StudentManagementSystem/addStudent.jsp?id=5&name=Cherry&branch=EEE&contact=123456 HTTP/1.1" 200 555
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:13:33 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:13:38 +0530] "GET /StudentManagementSystem/viewStudent.jsp HTTP/1.1" 200 1276
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:14:16 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:14:18 +0530] "GET /StudentManagementSystem/register.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:14:38 +0530] "GET /StudentManagementSystem/addStudent.jsp?id=5&name=abc&branch=cse&contact=123456 HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:15:10 +0530] "GET /StudentManagementSystem/index.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [25/Nov/2024:18:15:11 +0530] "GET /StudentManagementSystem/viewStudent.jsp HTTP/1.1" 200 1339
